No.  Centre         Durée          
0    6439.300000    12678.600000   
1    21899.624999   14674.229998   
2    35995.959999   13139.420001   
3    48968.650001   7247.860001    
4    60695.680003   407.700000     
5    65452.185004   204.010000     
6    66514.920004   1864.259999    
7    67741.995003   370.710000     
8    69103.135002   834.930000     
9    77423.099998   15628.179992   
10   86254.619994   1004.779999    
11   106980.509983  39889.539979   
12   144912.094983  3462.490003    
