No.  Centre         Durée          
0    15990.475000   3362.510000    
1    20724.355000   225.290000     
2    26849.784999   10122.269998   
3    34889.809998   1487.620000    
4    41993.215000   2948.090001    
5    50433.565001   6196.090001    
6    63261.020002   17457.759999   
7    72741.545001   590.490000     
8    76934.074998   4022.189998    
9    99256.084987   1015.169999    
10   126674.494972  1211.129999    
11   137710.989976  507.040000     
12   139090.794977  861.070001     
